title,firstname,lastname,city,address1,state,zipcode,country,email,phone,company,website,facebook,twitter,ip
Mrs.,Penny,Moore,HEWELSFIELD COMMON,88 Clasper Way,,GL15 1XD,United Kingdom,PennyKMoore@dayrep.com,070 7086 0753,Williams Bros.,WikiFire.co.uk,PennyKMoore,PennyKMoore,44.242.120.158
Mr.,Henry,Catalano,Rustenburg,960 Doreen St,North West,347,South Africa,HenryLCatalano@einrot.com,082 118 9037,Pro Garden Management,MultiFlavors.co.za,HenryLCatalano,HenryLCatalano,83.215.242.109
Ms.,Stephanie,Cone,PANT,2 Hull Road,,SY10 6ND,United Kingdom,StephanieMCone@teleworm.us,078 4515 7520,Success Is Yours,CampingProfessionals.co.uk,StephanieMCone,StephanieMCone,169.194.102.58
Mr.,Andrew,Flanagan,WEATHERCOTE,40 Simone Weil Avenue,,LA6 6ZT,United Kingdom,AndrewVFlanagan@dayrep.com,077 6574 7295,William Wanamaker & Sons,CommonFit.co.uk,AndrewVFlanagan,AndrewVFlanagan,12.53.195.22
Mr.,Daniel,Wright,Qumbu,1084 Bhoola Rd,Eastern Cape,5185,South Africa,DanielAWright@dayrep.com,082 673 3168,Purity Supreme,MysteryShoes.co.za,DanielAWright,DanielAWright,86.210.48.56
Mr.,Jose,Patton,Ashcroft,727 Mesa Vista Drive,BC,V0K 1A0,Canada,JoseMPatton@jourrapide.com,250-453-4211,Cut Rite,CartridgeExpo.ca,JoseMPatton,JoseMPatton,205.240.234.201
Dr.,Jean,Cross,WEST CHINNOCK,28 Warren St,,TA18 7XS,United Kingdom,JeanGCross@armyspy.com,077 8114 7167,Superior Appraisals,FirstInstructor.co.uk,JeanGCross,JeanGCross,160.183.198.246
Mr.,Kevin,Kennedy,COLBROOK,3 Fitzroy Street,VIC,3342,Australia,KevinBKennedy@gustr.com,(03) 5330 2874,Franklin Simon,SlamLounge.com.au,KevinBKennedy,KevinBKennedy,185.58.123.229
Mr.,Leonard,Sinclair,Cape Town,719 Loop St,Western Cape,7435,South Africa,LeonardMSinclair@teleworm.us,084 524 8203,Thorofare,SizeMedium.co.za,LeonardMSinclair,LeonardMSinclair,46.243.132.129
Mr.,Bruce,Campbell,MOOLBOOLAMAN,7 Delan Road,QLD,4671,Australia,BruceMCampbell@einrot.com,(07) 3187 6375,Town and Country Convenience Stores,RightWingLunacy.com.au,BruceMCampbell,BruceMCampbell,204.119.237.119
Ms.,Guadalupe,Strauss,TOOLIBIN,2 Loris Way,WA,6312,Australia,GuadalupeHStrauss@teleworm.us,(08) 9029 4631,Gas Zone,ShowDirectories.com.au,GuadalupeHStrauss,GuadalupeHStrauss,59.85.176.70
Ms.,Pamela,Wise,WARROCK,25 Normans Road,VIC,3312,Australia,PamelaSWise@gustr.com,(03) 5389 0975,Showbiz Pizza Place,IRCMagazine.com.au,PamelaSWise,PamelaSWise,137.116.91.223
Ms.,Margaret,Maguire,Laurentides,282 rue des Églises Est,QC,J0R 1C0,Canada,MargaretDMaguire@cuvox.de,450-439-2306,Pender's Food Stores,AmateurCredit.ca,MargaretDMaguire,MargaretDMaguire,72.139.24.22
Ms.,Regina,Dolph,SOLAS,27 Hounslow Rd,,HS6 2YL,United Kingdom,ReginaBDolph@teleworm.us,077 0685 3094,Record & Tape Outlet,MediumNews.co.uk,ReginaBDolph,ReginaBDolph,125.4.222.31
Mrs.,Paula,Hill,Brits,2383 South St,North West,220,South Africa,PaulaWHill@dayrep.com,085 488 7773,Alladin's Lamp,DominoRoom.co.za,PaulaWHill,PaulaWHill,187.166.22.117
Mr.,Jimmy,Sanchez,COQUETTE POINT,90 Boulter Close,QLD,4860,Australia,JimmyCSanchez@dayrep.com,(07) 4042 9552,On Cue,GrandMassage.com.au,JimmyCSanchez,JimmyCSanchez,224.145.91.15
Ms.,Mildred,Rodriguez,BADGERIN ROCK,17 Muscat Street,WA,6475,Australia,MildredARodriguez@rhyta.com,(08) 9060 4567,Team Electronics,DoubleLimousine.com.au,MildredARodriguez,MildredARodriguez,134.222.144.84
Mrs.,Kyung,Brittain,MIDDLE BROOK,17 Hart Street,NSW,2337,Australia,KyungBBrittain@dayrep.com,(02) 4997 6844,Dream Home Improvements,BloggerRoom.com.au,KyungBBrittain,KyungBBrittain,86.127.202.144
